kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
11336883,1,0,7.168990,2.150330000e-05,135.673,2.175850000e-03,8.9840000e-01,1.3160000e-01,4.7230,3.0300000e-01,1.0670000e+02,3.7460e+00,2.8910000e+01,1.7690000e+00,3.9730000e-01,1.19e+03,7.520000e+01,470.86,119.31,6221.00,138.00,4.20,0.13,1.458,0.281
11337012,1,0,12.401900,2.169340000e-04,141.181,1.419800000e-02,9.7420000e-01,1.6200000e-02,5.8130,7.8560000e-01,2.1050000e+02,2.7710e+01,9.3430000e+00,1.6360000e+00,3.9420000e-01,7.13e+02,5.250000e+01,61.06,17.97,5555.00,167.00,4.51,0.15,0.832,0.182
11337141,1,0,4.043540,9.398190000e-06,131.631,1.377430000e-03,9.0080000e-01,3.3430000e-01,1.4960,4.5210000e-01,3.7300000e+02,2.5360e+01,1.9970000e+01,1.2390000e+00,4.7080000e-01,6.13e+02,1.990000e+01,33.45,4.35,3871.00,84.00,4.74,0.05,0.532,0.042
11337372,1,0,6.531940,1.920240000e-05,136.032,2.369910000e-03,8.8760000e-01,8.4840000e-02,3.4650,2.8470000e-01,7.5360000e+02,2.2420e+01,3.5590000e+01,3.2020000e+00,5.0370000e-01,9.07e+02,5.150000e+01,160.03,36.34,5301.00,85.00,4.39,0.13,0.977,0.128
11350389,1,0,1.512660,2.081100000e-07,132.021,4.315040000e-05,9.0180000e-01,1.6560000e-02,1.9250,9.4380000e-03,2.2700000e+04,7.3330e+01,6.7190000e+02,1.6610000e+01,2.4220000e+00,1.36e+03,6.960000e+01,803.90,164.77,5258.00,158.00,4.51,0.09,0.811,0.112
11350389,2,0,1.512370,2.276150000e-05,133.090,6.000560000e-03,9.2930000e-01,3.0180000e-01,4.3080,1.2280000e+00,8.1530000e+01,1.7350e+01,5.2450000e+00,9.1550000e-01,4.3900000e-01,1.36e+03,6.960000e+01,804.11,164.81,5258.00,158.00,4.51,0.09,0.811,0.112
11350389,3,0,48.365900,8.197990000e-04,156.296,1.363210000e-02,6.4350000e-01,1.6880000e+01,2.5950,5.2900000e+00,1.5490000e+03,2.7450e+02,5.7180000e+00,3.3490000e+00,1.6200000e+01,4.28e+02,2.190000e+01,7.92,1.62,5258.00,158.00,4.51,0.09,0.811,0.112
11350634,1,0,278.390000,8.906920000e-03,299.534,1.797010000e-02,8.7020000e-01,2.0330000e-01,10.9100,1.2030000e+00,2.7100000e+02,3.9590e+01,6.8960000e+00,8.4490000e+00,2.7890000e+00,4.64e+02,3.500000e+01,10.95,3.30,4951.00,88.00,3.35,0.15,4.342,1.127
11390595,1,0,2.755030,1.209190000e-04,131.891,2.194170000e-02,8.8470000e-01,6.5240000e-01,12.7000,1.2760000e+00,6.7770000e+00,3.8850e+00,1.7240000e+00,4.5140000e-01,2.8810000e-01,1.71e+03,1.630000e+02,2008.56,767.75,6447.00,247.00,4.19,0.18,1.500,0.484
11390595,2,0,112.671000,9.183330000e-04,232.988,4.459160000e-03,7.8200000e-01,2.4800000e+00,2.5970,1.0840000e+00,2.9500000e+02,4.1560e+01,8.6680000e+00,2.8300000e+00,2.7470000e+00,4.95e+02,4.730000e+01,14.26,5.45,6447.00,247.00,4.19,0.18,1.500,0.484
11390595,3,0,194.061000,-1.000000000e+00,210.718,-1.000000000e+00,1.0000000e-01,-1.0000000e+00,4.5000,-1.0000000e+00,1.1490000e+02,-1.0000e+00,-1.0000000e+00,1.6140000e+00,-1.0000000e+00,4.13e+02,-1.000000e+00,6.90,-1.00,6447.00,247.00,4.19,0.18,1.500,0.484
11390595,4,0,75.357700,1.322040000e-03,183.626,1.346500000e-02,7.4030000e-01,1.8090000e+00,8.1380,1.3630000e+00,1.8340000e+02,3.2490e+01,6.1950000e+00,2.1980000e+00,1.4280000e+00,5.67e+02,5.410000e+01,24.37,9.32,6447.00,247.00,4.19,0.18,1.500,0.484
11401182,1,0,0.927861,1.843490000e-06,132.050,3.573450000e-04,8.9960000e-01,1.7580000e-01,1.2530,1.6700000e-01,3.1030000e+02,8.5870e+00,5.3300000e+01,1.5200000e+00,3.5090000e-01,1.36e+03,4.490000e+01,813.37,107.38,4815.00,86.00,4.63,0.06,0.699,0.065
11401253,1,0,4.965050,2.598070000e-05,135.559,3.574490000e-03,8.8830000e-01,5.3430000e-01,2.2090,2.6560000e-01,4.1310000e+01,4.3330e+00,9.8020000e+00,1.5330000e+00,1.2070000e+00,1.40e+03,4.140000e+02,918.57,1083.30,5339.00,291.00,3.82,0.71,2.011,1.227
11401755,1,0,16.231700,1.821700000e-05,139.220,9.115400000e-04,7.9410000e-01,4.8920000e-02,7.9760,9.6030000e-02,4.8400000e+02,3.9180e+00,1.2300000e+02,3.8520000e+00,2.1010000e-01,9.27e+02,1.720000e+01,174.35,12.96,5919.00,71.00,4.04,0.03,1.585,0.079
11081504,1,0,13.123100,6.230690000e-05,136.081,3.790650000e-03,9.4540000e-01,2.4820000e-01,2.0460,5.0420000e-01,4.0010000e+01,3.9910e+00,1.0870000e+01,1.3090000e+00,5.8380000e-01,1.03e+03,8.350000e+01,266.34,86.36,6134.00,124.00,4.07,0.18,1.665,0.358
11081504,2,0,9.618200,7.098930000e-05,138.354,5.906090000e-03,9.1950000e-01,2.9400000e-01,4.3190,4.9250000e-01,2.6300000e+01,2.6460e+00,9.7620000e+00,1.0250000e+00,3.9620000e-01,1.14e+03,9.260000e+01,403.05,130.69,6134.00,124.00,4.07,0.18,1.665,0.358
11081512,1,0,15.739400,1.481570000e-04,132.815,8.436080000e-03,9.0130000e-01,3.8680000e-01,3.3400,1.0120000e+00,2.8030000e+02,2.9380e+01,9.3770000e+00,1.4890000e+00,7.2600000e-01,5.37e+02,2.460000e+01,19.60,3.60,4733.00,167.00,4.57,0.06,0.723,0.072
11098013,1,0,7.507850,1.730200000e-05,138.710,1.645690000e-03,9.0630000e-01,4.6820000e-02,5.6230,1.8830000e-01,1.5310000e+02,5.8540e+00,2.7700000e+01,1.9540000e+00,3.4880000e-01,1.14e+03,6.650000e+01,396.75,92.71,6408.00,140.00,4.31,0.12,1.337,0.229
11098023,1,0,343.906000,2.517730000e-02,242.276,3.989490000e-02,1.0000000e+00,1.7350000e+00,27.4300,2.6750000e+02,3.2120000e+03,1.0040e+05,7.9200000e+00,8.5850000e+00,1.9010000e+01,2.08e+02,1.090000e+01,0.44,0.09,5112.00,167.00,4.60,0.09,0.781,0.097
11098023,2,0,366.370000,2.067400000e-02,227.316,4.164870000e-02,9.9840000e-01,2.3670000e-01,39.2500,2.1720000e+00,4.0670000e+03,4.9540e+02,1.0520000e+01,9.4740000e+00,1.4030000e+01,2.03e+02,1.070000e+01,0.40,0.09,5112.00,167.00,4.60,0.09,0.781,0.097
11124203,1,0,0.958988,6.061180000e-06,132.154,2.937940000e-03,9.7970000e-01,1.0900000e-02,6.6400,2.7170000e-01,5.7100000e+02,4.1970e+01,1.9850000e+01,1.5110000e+00,2.8980000e-01,8.57e+02,2.710000e+01,127.74,16.14,3601.00,65.00,4.83,0.05,0.420,0.046
11124353,1,0,393.781000,2.684560000e-02,158.978,5.979960000e-02,9.5850000e-01,2.1720000e-02,18.9000,2.1000000e+00,1.1390000e+03,2.0460e+02,8.5530000e+00,3.7420000e+00,1.3180000e+00,2.30e+02,2.700000e+01,0.66,0.31,5743.00,403.00,4.55,0.20,0.853,0.278
11124353,2,0,423.704000,1.958770000e-02,548.936,2.636630000e-02,5.2100000e-01,2.5540000e+00,20.1000,2.6420000e+00,7.3290000e+02,1.0440e+02,7.4090000e+00,2.3680000e+00,1.2570000e+00,2.25e+02,2.640000e+01,0.60,0.28,5743.00,403.00,4.55,0.20,0.853,0.278
11124353,3,1,432.160000,4.023620000e-02,477.472,4.489580000e-02,9.5580000e-01,2.0280000e-02,23.8100,2.9230000e+00,1.0320000e+03,1.6040e+02,8.3050000e+00,3.5340000e+00,1.2120000e+00,2.23e+02,2.620000e+01,0.59,0.28,5743.00,403.00,4.55,0.20,0.853,0.278
11135986,3,0,345.930000,3.837840000e-03,341.082,6.573790000e-03,5.2860000e-01,1.1220000e+01,4.5320,2.7110000e+00,9.9270000e+02,1.8780e+02,6.7760000e+00,1.5190000e+01,3.2560000e+01,4.78e+02,7.240000e+01,12.38,7.50,5125.00,128.00,3.21,0.35,4.724,1.760
11135986,4,0,324.762000,4.894380000e-03,188.124,7.543250000e-03,5.1100000e-01,1.0510000e+01,4.7310,2.7020000e+00,1.2240000e+03,2.2710e+02,7.8790000e+00,1.6810000e+01,3.2400000e+01,4.88e+02,7.400000e+01,13.46,8.16,5125.00,128.00,3.21,0.35,4.724,1.760
11135986,5,0,553.205000,5.395230000e-03,314.775,6.863500000e-03,7.3420000e-01,1.5500000e+00,4.5740,1.3030000e+00,8.3880000e+02,1.5920e+02,6.5090000e+00,1.4790000e+01,1.1080000e+01,4.09e+02,6.190000e+01,6.62,4.01,5125.00,128.00,3.21,0.35,4.724,1.760
11146627,1,0,49.396200,4.529880000e-03,167.735,1.992990000e-02,8.3270000e-01,1.7350000e+00,4.0690,1.3900000e+00,1.7280000e+02,2.7550e+01,7.4110000e+00,1.4850000e+00,1.5030000e+00,4.97e+02,1.520000e-02,14.40,0.00,5780.00,0.00,4.44,0.00,1.000,0.000
11146627,2,0,49.316400,-1.000000000e+00,152.333,-1.000000000e+00,1.0000000e-01,-1.0000000e+00,1.5000,-1.0000000e+00,4.8460000e+02,-1.0000e+00,-1.0000000e+00,2.1890000e+00,-1.0000000e+00,4.97e+02,-1.000000e+00,14.43,-1.00,5780.00,0.00,4.44,0.00,1.000,0.000
11146627,3,0,76.594600,-1.000000000e+00,152.670,-1.000000000e+00,1.0000000e-01,-1.0000000e+00,3.0000,-1.0000000e+00,8.4940000e+01,-1.0000e+00,-1.0000000e+00,9.1330000e-01,-1.0000000e+00,4.29e+02,-1.000000e+00,8.02,-1.00,5780.00,0.00,4.44,0.00,1.000,0.000
11146627,4,0,96.050700,9.635950000e-03,187.226,1.551720000e-02,9.5580000e-01,4.1660000e-02,4.3780,8.0220000e-01,5.6760000e+02,1.0810e+02,7.8450000e+00,3.0680000e+00,4.5660000e-01,3.98e+02,1.330000e-02,5.93,0.00,5780.00,0.00,4.44,0.00,1.000,0.000
11146627,5,0,65.309900,-1.000000000e+00,180.667,-1.000000000e+00,1.0000000e-01,-1.0000000e+00,4.5000,-1.0000000e+00,1.5900000e+01,-1.0000e+00,-1.0000000e+00,3.9490000e-01,-1.0000000e+00,4.53e+02,-1.000000e+00,9.92,-1.00,5780.00,0.00,4.44,0.00,1.000,0.000
11176166,2,0,8.548250,2.533440000e-04,137.344,2.510670000e-02,8.8660000e-01,1.3330000e+00,2.9850,2.2010000e+00,2.3200000e+02,3.6280e+01,7.1240000e+00,2.0230000e+00,2.0110000e+00,1.05e+03,1.070000e+02,290.52,118.06,6477.00,250.00,4.36,0.20,1.148,0.362
11177543,1,0,38.326100,1.972570000e-04,142.085,3.885050000e-03,9.0700000e-01,2.6770000e-01,2.6480,7.2190000e-01,3.8580000e+02,2.8960e+01,1.4180000e+01,2.1670000e+00,7.3750000e-01,4.80e+02,2.210000e+01,12.58,2.31,5229.00,78.00,4.44,0.10,0.903,0.088
11177676,1,0,47.032400,5.525390000e-04,175.469,8.647540000e-03,7.0770000e-01,2.0400000e+00,5.9300,1.1360000e+00,3.7140000e+02,3.4010e+01,1.0810000e+01,2.1750000e+00,1.6750000e+00,4.92e+02,3.550000e+01,13.86,4.00,5370.00,80.00,4.34,0.16,1.055,0.220
11189311,2,0,252.749000,2.345300000e-03,162.534,7.274610000e-03,9.2130000e-01,1.9960000e-02,13.0700,4.2400000e-01,3.3370000e+02,3.6630e+01,9.9450000e+00,3.0740000e+00,6.0990000e-01,3.58e+02,2.110000e+01,3.88,0.91,6352.00,139.00,4.27,0.12,1.401,0.263
11190713,1,0,559.067000,6.279640000e-03,235.074,1.064480000e-02,4.5980000e-01,5.2270000e+01,3.5280,7.7470000e+00,1.0660000e+03,2.2870e+02,6.9700000e+00,1.7220000e+00,1.3090000e+01,1.43e+02,5.700000e+00,0.10,0.02,4637.00,152.00,4.73,0.05,0.522,0.035
11190713,2,1,435.668000,4.268350000e-03,345.397,5.503730000e-03,6.5420000e-01,3.8440000e+00,2.8530,1.2680000e+00,1.0550000e+03,2.3150e+02,7.4520000e+00,1.7850000e+00,2.0010000e+00,1.55e+02,6.190000e+00,0.14,0.02,4637.00,152.00,4.73,0.05,0.522,0.035
11200191,1,0,392.893000,7.597670000e-03,141.286,1.583440000e-02,8.4350000e-01,4.4070000e-01,6.4920,1.3570000e+00,6.2020000e+02,1.2350e+02,6.5060000e+00,2.3260000e+00,8.5440000e-01,2.08e+02,8.490000e+00,0.44,0.07,5272.00,84.00,4.57,0.09,0.813,0.080
11200191,2,0,418.268000,7.137050000e-03,514.621,1.037590000e-02,9.3380000e-01,7.5620000e-02,3.8340,8.3690000e-01,6.8080000e+02,9.4590e+01,8.8520000e+00,2.6880000e+00,5.0130000e-01,2.04e+02,8.310000e+00,0.41,0.07,5272.00,84.00,4.57,0.09,0.813,0.080
11200191,3,0,234.684000,2.073730000e-03,241.942,4.866570000e-03,5.4290000e-01,6.8420000e+00,3.4220,9.4350000e-01,6.2500000e+02,7.8730e+01,8.8660000e+00,2.0760000e+00,2.9570000e+00,2.47e+02,1.010000e+01,0.88,0.14,5272.00,84.00,4.57,0.09,0.813,0.080
11200366,1,0,484.934000,8.137160000e-03,544.879,1.075290000e-02,1.0160000e-03,5.6240000e+02,18.8600,1.0970000e+00,2.8900000e+03,5.2930e+02,5.3390000e+00,4.0890000e+00,1.0370000e+00,1.93e+02,1.130000e+01,0.33,0.08,5274.00,184.00,4.58,0.10,0.779,0.131
11234677,2,0,1.587770,2.009480000e-05,132.759,3.039490000e-03,9.3470000e-01,4.9640000e-01,1.3760,5.5080000e-01,5.1000000e+01,1.4990e+01,4.8560000e+00,1.0770000e+00,7.7530000e-01,1.89e+03,1.860000e+02,3037.87,1193.10,6440.00,192.00,4.31,0.20,1.241,0.418
