,koi_duration,koi_depth,koi_prad,koi_ror,tce_duration,tce_depth,tce_prad,koi_steff,koi_srad,koi_smass,koi_slogg,tce_steff,tce_sradius,tce_slogg,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_model_snr,koi_max_mult_ev
7594,2.771,154870.0,52.0,0.439667,,,,5949.0,1.083,0.876,4.311,,,,0.0,1.0,0.0,0.0,1041.8,13815.108
7595,2.7233,59095.0,164.61,1.4851,,,,6372.0,1.015,1.066,4.453,,,,0.0,1.0,0.0,0.0,515.5,838.71173
7597,8.45037,44315.3,17.09,0.194457,,,,5899.0,0.805,0.889,4.574,,,,0.0,1.0,0.0,0.0,2019.7,1800.4244
7599,1.936,2560.0,7.27,0.096073,,,,5350.0,0.693,0.663,4.578,,,,0.0,1.0,1.0,0.0,2.6,147.19641
7600,2.876,5915.0,21.68,0.115642,,,,7301.0,1.717,1.384,4.11,,,,0.0,1.0,0.0,0.0,15.8,107.57253
7601,3.64,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,
7604,1.206,37.1,1.04,0.005708,,,,7193.0,1.671,1.46,4.156,,,,0.0,0.0,1.0,0.0,15.9,10.398751
7606,4.49,1661.7,2.25,0.03659,,,,3891.0,0.564,0.605,4.718,,,,0.0,0.0,0.0,0.0,18.6,12.787113
7610,3.042,503.5,8.02,0.142852,,,,3729.0,0.514,0.52,4.733,,,,0.0,0.0,1.0,0.0,10.8,8.314332
7612,2.373,147.7,1.0,0.011217,,,,5413.0,0.82,0.931,4.579,,,,0.0,0.0,0.0,0.0,12.3,10.144701
7617,3.699,5259.0,69.44,0.364388,,,,5893.0,1.745,0.979,3.945,,,,0.0,1.0,0.0,0.0,56.6,408.60593
7619,2.9845,14608.0,9.55,0.132887,,,,4608.0,0.658,0.73,4.648,,,,0.0,1.0,0.0,0.0,86.7,732.3129
7620,21.4259,467860.0,71.61,0.683762,,,,5999.0,0.959,1.045,4.494,,,,0.0,1.0,0.0,0.0,1365.9,11276.919
7621,6.9616,4325.0,36.96,0.360084,,,,5910.0,0.94,1.032,4.505,,,,0.0,1.0,1.0,0.0,171.3,188.76498
7623,4.94674,56841.0,50.78,0.224521,,,,7249.0,2.071,1.537,3.993,,,,0.0,1.0,0.0,0.0,4146.7,10491.035
7624,4.9153,171132.0,40.94,0.379057,,,,5720.0,0.989,0.912,4.407,,,,0.0,1.0,0.0,0.0,338.2,3223.9841
7626,5.733,5.9,0.54,0.002284,,,,7589.0,2.169,1.809,4.023,,,,0.0,0.0,0.0,1.0,16.3,7.4731584
7627,10.85,31.2,1.28,0.005888,,,,7608.0,1.991,1.738,4.08,,,,1.0,0.0,0.0,0.0,8.6,
7628,3.286,136.0,39.06,0.222735,,,,6144.0,1.606,1.14,4.083,,,,0.0,1.0,0.0,0.0,18.1,12.879899
7629,13.02,120.3,1.59,0.016734,,,,5971.0,0.868,0.898,4.514,,,,1.0,0.0,0.0,0.0,10.4,
7630,4.85,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,
7631,5.54,38.4,1.32,0.005744,,,,5424.0,2.11,1.11,3.832,,,,1.0,0.0,0.0,0.0,3.0,
7632,5.86,17.1,0.91,0.003795,,,,6003.0,2.193,1.173,3.825,,,,1.0,0.0,0.0,0.0,8.1,
7633,7.94066,186528.0,61.52,0.544292,,,,6095.0,1.035,1.041,4.427,,,,0.0,1.0,0.0,0.0,5388.3,
7634,5.281,15.0,1.0,0.003731,,,,10346.0,2.449,2.609,4.077,,,,1.0,0.0,0.0,0.0,32.9,9.994092
7635,9.259,92.8,3.17,0.00902,,,,9030.0,3.218,2.505,3.822,,,,1.0,0.0,0.0,0.0,11.6,
7636,9.23,62.5,2.36,0.007525,,,,8914.0,2.867,2.357,3.896,,,,1.0,0.0,0.0,0.0,10.6,
7637,1.37,98.2,3.02,0.012163,,,,6362.0,2.27,1.36,3.858,,,,1.0,0.0,0.0,0.0,6.9,
7638,22.346,408.5,115.4,0.379729,,,,7682.0,2.783,1.949,3.838,,,,1.0,0.0,0.0,0.0,32.1,
7639,2.741,57.8,0.78,0.007177,,,,5780.0,1.0,1.0,4.438,,,,0.0,0.0,1.0,0.0,13.2,8.53183
7640,9.94,41.2,0.83,0.005943,,,,6070.0,1.277,0.778,4.117,,,,1.0,0.0,0.0,0.0,5.7,
7642,12.84,576.7,30.29,0.152586,,,,7296.0,1.818,1.526,4.103,,,,1.0,0.0,0.0,0.0,19.9,
7643,1.689,24.4,0.48,0.004495,,,,5689.0,0.976,0.918,4.422,,,,0.0,0.0,1.0,0.0,9.3,10.425457
7644,5.549,34.9,1.34,0.007279,,,,7076.0,1.691,1.467,4.147,,,,1.0,0.0,0.0,0.0,30.4,8.4416685
7645,1.127,28.6,1.14,0.00515,,,,9456.0,2.022,2.213,4.172,,,,0.0,0.0,1.0,0.0,14.8,9.095842
7646,9.03,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,
7647,4.487,63.9,0.98,0.007559,,,,6745.0,1.182,1.174,4.361,,,,1.0,0.0,0.0,0.0,6.7,
7648,8.989,56.3,0.92,0.006883,,,,6181.0,1.227,1.044,4.279,,,,1.0,0.0,0.0,0.0,8.9,
7649,10.78,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,
7650,2.513,293.9,23.04,0.254797,,,,5797.0,0.828,0.916,4.563,,,,0.0,0.0,1.0,1.0,12.3,11.441388
7651,11.874,465.5,2.21,0.019987,,,,6295.0,1.014,1.073,4.456,,,,0.0,0.0,1.0,0.0,14.7,
7652,3.762,2388.2,24.76,0.340387,,,,5182.0,0.666,0.646,4.601,,,,0.0,1.0,1.0,0.0,32.2,46.379704
7653,5.149,367.7,1.99,0.01754,,,,5868.0,1.037,0.978,4.397,,,,0.0,0.0,1.0,0.0,14.2,
7655,5.8043,104599.0,54.58,0.499783,,,,5780.0,1.0,1.0,4.438,,,,0.0,1.0,1.0,1.0,97.3,142.66794
7656,6.01,591.0,2.14,0.023873,,,,5504.0,0.819,0.918,4.572,,,,1.0,0.0,0.0,0.0,5.4,
7657,15.23,678.2,2.08,0.023523,,,,5381.0,0.811,0.903,4.575,,,,1.0,0.0,0.0,0.0,11.1,
7658,11.942,498.7,3.37,0.025738,,,,5970.0,1.2,1.089,4.317,,,,0.0,0.0,0.0,0.0,24.4,18.204784
